id,symbol,name,asset_class,currency,isin,metadata
1,SAP.DE,SAP SE,EQUITY,EUR,DE0007164600,"{""sector"":""Technology"",""exchange"":""XETRA""}"
2,SIE.DE,Siemens AG,EQUITY,EUR,DE0007236101,"{""sector"":""Industrials"",""exchange"":""XETRA""}"
3,DBKGn.DE,Deutsche Bank AG,EQUITY,EUR,DE0005140008,"{""sector"":""Financials"",""exchange"":""XETRA""}"
4,ALV.DE,Allianz SE,EQUITY,EUR,DE0008404005,"{""sector"":""Insurance""}"
5,BMW.DE,BMW AG,EQUITY,EUR,DE0005190003,"{""sector"":""Automobile""}"
6,BAS.DE,BASF SE,EQUITY,EUR,DE000BASF111,"{""sector"":""Chemicals""}"
7,BAYN.DE,Bayer AG,EQUITY,EUR,DE000BAY0017,"{""sector"":""Healthcare""}"
8,DTE.DE,Deutsche Telekom,EQUITY,EUR,DE0005557508,"{""sector"":""Telecom""}"
9,ADS.DE,Adidas AG,EQUITY,EUR,DE000A1EWWW0,"{""sector"":""Consumer""}"
10,IFX.DE,Infineon Technologies,EQUITY,EUR,DE0006231004,"{""sector"":""Semiconductor""}"
11,AAPL,Apple Inc,EQUITY,USD,US0378331005,"{}"
12,MSFT,Microsoft Corp,EQUITY,USD,US5949181045,"{}"
13,GOOGL,Alphabet Inc,EQUITY,USD,US02079K3059,"{}"
14,AMZN,Amazon.com Inc,EQUITY,USD,US0231351067,"{}"
15,META,Meta Platforms,EQUITY,USD,US30303M1027,"{}"
16,NVDA,NVIDIA Corp,EQUITY,USD,US67066G1040,"{}"
17,TSLA,Tesla Inc,EQUITY,USD,US88160R1014,"{}"
18,JPM,JPMorgan Chase,EQUITY,USD,US46625H1005,"{}"
19,GS,Goldman Sachs,EQUITY,USD,US38141G1040,"{}"
20,IBM,IBM,EQUITY,USD,US4592001014,"{}"
21,HSBA.L,HSBC Holdings,EQUITY,GBP,GB0005405286,"{}"
22,VOD.L,Vodafone Group,EQUITY,GBP,GB00BH4HKS39,"{}"
23,T.TO,TELUS Corp,EQUITY,CAD,CA87971M1032,"{}"
24,BUND10Y,German 10Y Bund,FIXED_INCOME,EUR,DEBUND000001,"{}"
25,UST10Y,US Treasury 10Y,FIXED_INCOME,USD,USUSTY000001,"{}"
26,GILT10Y,UK Gilt 10Y,FIXED_INCOME,GBP,GBGILT000001,"{}"
27,JGB10Y,Japan Govt Bond,FIXED_INCOME,JPY,JPJGBX000001,"{}"
28,OAT10Y,French OAT,FIXED_INCOME,EUR,FROATX000001,"{}"
29,EUR/USD,Euro vs Dollar,FX,USD,FXEURU000001,"{}"
30,USD/JPY,Dollar vs Yen,FX,JPY,FXUSDJ000001,"{}"
31,GBP/USD,Sterling vs Dollar,FX,USD,FXGBPU000001,"{}"
32,USD/CHF,Dollar vs Swiss Franc,FX,CHF,FXUSDC000001,"{}"
33,AUD/USD,Australian Dollar,FX,USD,FXAUDU000001,"{}"
34,USD/CAD,Dollar vs Canadian Dollar,FX,CAD,FXUSCA000001,"{}"
35,XAU,Spot Gold,COMMODITY,USD,CMGOLD000001,"{}"
36,XAG,Spot Silver,COMMODITY,USD,CMSILV000001,"{}"
37,BRENT,Brent Crude,COMMODITY,USD,CMBRNT000001,"{}"
38,CL_FUT,WTI Futures,DERIVATIVE,USD,DRCLFT000001,"{}"
39,NATGAS,Natural Gas,COMMODITY,USD,CMNGAS000001,"{}"
40,SPY,SPDR S&P500 ETF,ETF,USD,ETFSPY000001,"{}"
41,QQQ,NASDAQ 100 ETF,ETF,USD,ETFQQQ000001,"{}"
42,GLD,Gold ETF,ETF,USD,ETFGLD000001,"{}"
43,TLT,20Y Treasury ETF,ETF,USD,ETFTLT000001,"{}"
44,EEM,Emerging Markets ETF,ETF,USD,ETFEEM000001,"{}"
45,ES_FUT,S&P500 Futures,DERIVATIVE,USD,DRESFT000001,"{}"
46,NQ_FUT,NASDAQ Futures,DERIVATIVE,USD,DRNQFT000001,"{}"
47,GC_FUT,Gold Futures,DERIVATIVE,USD,DRGCFT000001,"{}"
48,DAX_FUT,DAX Futures,DERIVATIVE,EUR,DRDAXF000001,"{}"
49,ORCL,Oracle Corp,EQUITY,USD,US68389X1054,"{}"
50,INTC,Intel Corp,EQUITY,USD,US4581401001,"{}"
